txn_id,reporting_year,period_month,period_state,txn_date,account_id,account_name,account_type,txn_class,amount_base,base_currency,amount_reporting,reporting_currency,gl_code,category_group_key,source_system,source_record_ref
hbgl_2026_000001,2026,2026-01,actual,2026-01-06,TWH - PERSONAL,TWH - Personal,budget,transfer_in,228.15,SGD,228.15,SGD,,,homebudget_sync,hb_gl:2026-01-06:1
hbgl_2026_000002,2026,2026-01,actual,2026-01-06,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-228.15,SGD,-228.15,SGD,,,homebudget_sync,hb_gl:2026-01-06:2
hbgl_2026_000003,2026,2026-02,actual,2026-02-06,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-228.15,SGD,-228.15,SGD,,,homebudget_sync,hb_gl:2026-02-06:3
hbgl_2026_000004,2026,2026-03,forecast,2026-03-06,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-228.15,SGD,-228.15,SGD,,,homebudget_sync,hb_gl:2026-03-06:4
hbgl_2026_000005,2026,2026-03,forecast,2026-03-06,TWH - PERSONAL,TWH - Personal,budget,transfer_in,228.15,SGD,228.15,SGD,,,homebudget_sync,hb_gl:2026-03-06:5
hbgl_2026_000006,2026,2026-02,actual,2026-02-06,TWH - PERSONAL,TWH - Personal,budget,transfer_in,228.15,SGD,228.15,SGD,,,homebudget_sync,hb_gl:2026-02-06:6
hbgl_2026_000007,2026,2026-04,forecast,2026-04-06,TWH - PERSONAL,TWH - Personal,budget,expense,-228.19,SGD,-228.19,SGD,Taxes - income,02 income tax SGP,homebudget_sync,hb_gl:2026-04-06:7
hbgl_2026_000008,2026,2026-03,forecast,2026-03-06,TWH - PERSONAL,TWH - Personal,budget,expense,-228.15,SGD,-228.15,SGD,Taxes - income,02 income tax SGP,homebudget_sync,hb_gl:2026-03-06:8
hbgl_2026_000009,2026,2026-02,actual,2026-02-06,TWH - PERSONAL,TWH - Personal,budget,expense,-228.15,SGD,-228.15,SGD,Taxes - income,02 income tax SGP,homebudget_sync,hb_gl:2026-02-06:9
hbgl_2026_000010,2026,2026-01,actual,2026-01-06,TWH - PERSONAL,TWH - Personal,budget,expense,-228.15,SGD,-228.15,SGD,Taxes - income,02 income tax SGP,homebudget_sync,hb_gl:2026-01-06:10
hbgl_2026_000011,2026,2026-04,forecast,2026-04-06,TWH - PERSONAL,TWH - Personal,budget,transfer_in,228.19,SGD,228.19,SGD,,,homebudget_sync,hb_gl:2026-04-06:11
hbgl_2026_000012,2026,2026-04,forecast,2026-04-06,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-228.19,SGD,-228.19,SGD,,,homebudget_sync,hb_gl:2026-04-06:12
hbgl_2026_000013,2026,2026-02,actual,2026-02-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-02-01:13
hbgl_2026_000014,2026,2026-04,forecast,2026-04-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-04-01:14
hbgl_2026_000015,2026,2026-05,forecast,2026-05-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-05-01:15
hbgl_2026_000016,2026,2026-06,forecast,2026-06-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-06-01:16
hbgl_2026_000017,2026,2026-03,forecast,2026-03-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-03-01:17
hbgl_2026_000018,2026,2026-01,actual,2026-01-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-01-01:18
