reporting_year,period_month,section,line_item,line_type,amount_reporting
2026,2026-01,summary,net income PL,aggregate,60575.00
2026,2026-02,summary,net income PL,aggregate,19908.00
2026,2026-03,summary,net income PL,aggregate,-51871.00
2026,2026-04,summary,net income PL,aggregate,-20931.00
2026,2026-05,summary,net income PL,aggregate,4695.00
2026,2026-06,summary,net income PL,aggregate,4654.00
2026,2026-07,summary,net income PL,aggregate,3965.00
2026,2026-08,summary,net income PL,aggregate,3143.00
2026,2026-09,summary,net income PL,aggregate,4875.00
2026,2026-10,summary,net income PL,aggregate,3698.00
2026,2026-11,summary,net income PL,aggregate,5699.00
2026,2026-12,summary,net income PL,aggregate,3239.00
2026,2026-01,summary,reconcile error,line_item,158.00
2026,2026-02,summary,reconcile error,line_item,18388.00
2026,2026-03,summary,reconcile error,line_item,0.00
2026,2026-04,summary,reconcile error,line_item,0.00
2026,2026-05,summary,reconcile error,line_item,0.00
2026,2026-06,summary,reconcile error,line_item,0.00
2026,2026-07,summary,reconcile error,line_item,0.00
2026,2026-08,summary,reconcile error,line_item,0.00
2026,2026-09,summary,reconcile error,line_item,0.00
2026,2026-10,summary,reconcile error,line_item,0.00
2026,2026-11,summary,reconcile error,line_item,0.00
2026,2026-12,summary,reconcile error,line_item,0.00
2026,2026-01,summary,change in net assets,aggregate,60733.00
2026,2026-02,summary,change in net assets,aggregate,38296.00
2026,2026-03,summary,change in net assets,aggregate,-51871.00
2026,2026-04,summary,change in net assets,aggregate,-20931.00
2026,2026-05,summary,change in net assets,aggregate,4695.00
2026,2026-06,summary,change in net assets,aggregate,4654.00
2026,2026-07,summary,change in net assets,aggregate,3965.00
2026,2026-08,summary,change in net assets,aggregate,3143.00
2026,2026-09,summary,change in net assets,aggregate,4875.00
2026,2026-10,summary,change in net assets,aggregate,3698.00
2026,2026-11,summary,change in net assets,aggregate,5699.00
2026,2026-12,summary,change in net assets,aggregate,3239.00
2026,2026-01,summary,opening net assets,aggregate,357948.00
2026,2026-02,summary,opening net assets,aggregate,418681.00
2026,2026-03,summary,opening net assets,aggregate,456977.00
2026,2026-04,summary,opening net assets,aggregate,405106.00
2026,2026-05,summary,opening net assets,aggregate,384175.00
2026,2026-06,summary,opening net assets,aggregate,388869.00
2026,2026-07,summary,opening net assets,aggregate,393523.00
2026,2026-08,summary,opening net assets,aggregate,397488.00
2026,2026-09,summary,opening net assets,aggregate,400632.00
2026,2026-10,summary,opening net assets,aggregate,405507.00
2026,2026-11,summary,opening net assets,aggregate,409204.00
2026,2026-12,summary,opening net assets,aggregate,414903.00
2026,2026-01,summary,closing net assets,aggregate,418681.00
2026,2026-02,summary,closing net assets,aggregate,456977.00
2026,2026-03,summary,closing net assets,aggregate,405106.00
2026,2026-04,summary,closing net assets,aggregate,384175.00
2026,2026-05,summary,closing net assets,aggregate,388869.00
2026,2026-06,summary,closing net assets,aggregate,393523.00
2026,2026-07,summary,closing net assets,aggregate,397488.00
2026,2026-08,summary,closing net assets,aggregate,400632.00
2026,2026-09,summary,closing net assets,aggregate,405507.00
2026,2026-10,summary,closing net assets,aggregate,409204.00
2026,2026-11,summary,closing net assets,aggregate,414903.00
2026,2026-12,summary,closing net assets,aggregate,418142.00
2026,2026-01,summary,net assets,aggregate,418680.85
2026,2026-02,summary,net assets,aggregate,456977.00
2026,2026-03,summary,net assets,aggregate,405106.00
2026,2026-04,summary,net assets,aggregate,384175.00
2026,2026-05,summary,net assets,aggregate,388869.00
2026,2026-06,summary,net assets,aggregate,393523.00
2026,2026-07,summary,net assets,aggregate,397488.00
2026,2026-08,summary,net assets,aggregate,400632.00
2026,2026-09,summary,net assets,aggregate,405507.00
2026,2026-10,summary,net assets,aggregate,409204.00
2026,2026-11,summary,net assets,aggregate,414903.00
2026,2026-12,summary,net assets,aggregate,418142.00
2026,2026-01,illiquid_retirement,illiquid and retirement,line_item,194515.00
2026,2026-02,illiquid_retirement,illiquid and retirement,line_item,197980.00
2026,2026-03,illiquid_retirement,illiquid and retirement,line_item,200940.00
2026,2026-04,illiquid_retirement,illiquid and retirement,line_item,203900.00
2026,2026-05,illiquid_retirement,illiquid and retirement,line_item,206145.00
2026,2026-06,illiquid_retirement,illiquid and retirement,line_item,209105.00
2026,2026-07,illiquid_retirement,illiquid and retirement,line_item,212065.00
2026,2026-08,illiquid_retirement,illiquid and retirement,line_item,212638.00
2026,2026-09,illiquid_retirement,illiquid and retirement,line_item,215598.00
2026,2026-10,illiquid_retirement,illiquid and retirement,line_item,218274.00
2026,2026-11,illiquid_retirement,illiquid and retirement,line_item,221234.00
2026,2026-12,illiquid_retirement,illiquid and retirement,line_item,229657.00
2026,2026-01,illiquid_retirement,liquid net assets,line_item,224165.00
2026,2026-02,illiquid_retirement,liquid net assets,line_item,258996.00
2026,2026-03,illiquid_retirement,liquid net assets,line_item,204165.00
2026,2026-04,illiquid_retirement,liquid net assets,line_item,180274.00
2026,2026-05,illiquid_retirement,liquid net assets,line_item,182724.00
2026,2026-06,illiquid_retirement,liquid net assets,line_item,184418.00
2026,2026-07,illiquid_retirement,liquid net assets,line_item,185423.00
2026,2026-08,illiquid_retirement,liquid net assets,line_item,187994.00
2026,2026-09,illiquid_retirement,liquid net assets,line_item,189909.00
2026,2026-10,illiquid_retirement,liquid net assets,line_item,190930.00
2026,2026-11,illiquid_retirement,liquid net assets,line_item,193669.00
2026,2026-12,illiquid_retirement,liquid net assets,line_item,188484.00
2026,2026-01,illiquid_retirement,cash and bank accounts,line_item,8739.00
2026,2026-02,illiquid_retirement,cash and bank accounts,line_item,21278.00
2026,2026-03,illiquid_retirement,cash and bank accounts,line_item,2880.00
2026,2026-04,illiquid_retirement,cash and bank accounts,line_item,5583.00
2026,2026-05,illiquid_retirement,cash and bank accounts,line_item,8032.00
2026,2026-06,illiquid_retirement,cash and bank accounts,line_item,5726.00
2026,2026-07,illiquid_retirement,cash and bank accounts,line_item,6731.00
2026,2026-08,illiquid_retirement,cash and bank accounts,line_item,3914.00
2026,2026-09,illiquid_retirement,cash and bank accounts,line_item,5829.00
2026,2026-10,illiquid_retirement,cash and bank accounts,line_item,3851.00
2026,2026-11,illiquid_retirement,cash and bank accounts,line_item,6590.00
2026,2026-12,illiquid_retirement,cash and bank accounts,line_item,1405.00
2026,2026-01,liquid_investments,liquid investments,line_item,251680.00
2026,2026-02,liquid_investments,liquid investments,line_item,242002.00
2026,2026-03,liquid_investments,liquid investments,line_item,251484.00
2026,2026-04,liquid_investments,liquid investments,line_item,219891.00
2026,2026-05,liquid_investments,liquid investments,line_item,219892.00
2026,2026-06,liquid_investments,liquid investments,line_item,194618.00
2026,2026-07,liquid_investments,liquid investments,line_item,181981.00
2026,2026-08,liquid_investments,liquid investments,line_item,200936.00
2026,2026-09,liquid_investments,liquid investments,line_item,200937.00
2026,2026-10,liquid_investments,liquid investments,line_item,200937.00
2026,2026-11,liquid_investments,liquid investments,line_item,219892.00
2026,2026-12,liquid_investments,liquid investments,line_item,219892.00
2026,2026-01,liquid_investments,credit,line_item,-36254.00
2026,2026-02,liquid_investments,credit,line_item,-4284.00
2026,2026-03,liquid_investments,credit,line_item,-50199.00
2026,2026-04,liquid_investments,credit,line_item,-45200.00
2026,2026-05,liquid_investments,credit,line_item,-45200.00
2026,2026-06,liquid_investments,credit,line_item,-15926.00
2026,2026-07,liquid_investments,credit,line_item,-3289.00
2026,2026-08,liquid_investments,credit,line_item,-16857.00
2026,2026-09,liquid_investments,credit,line_item,-16857.00
2026,2026-10,liquid_investments,credit,line_item,-13857.00
2026,2026-11,liquid_investments,credit,line_item,-32813.00
2026,2026-12,liquid_investments,credit,line_item,-32813.00
2026,2026-01,liquid_investments,M2M forex USD.SGD,line_item,-4844.00
2026,2026-02,liquid_investments,M2M forex USD.SGD,line_item,118.00
2026,2026-03,liquid_investments,M2M forex USD.SGD,line_item,23.00
2026,2026-04,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-05,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-06,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-07,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-08,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-09,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-10,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-11,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-12,liquid_investments,M2M forex USD.SGD,line_item,0.00
2026,2026-01,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-02,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-03,liquid_investments,IB --> CITI,line_item,-2000.00
2026,2026-04,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-05,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-06,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-07,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-08,liquid_investments,IB --> CITI,line_item,-1889.00
2026,2026-09,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-10,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-11,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-12,liquid_investments,IB --> CITI,line_item,0.00
2026,2026-01,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-02,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-03,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-04,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-05,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-06,liquid_investments,IB --> DBS,line_item,-3165.00
2026,2026-07,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-08,liquid_investments,IB --> DBS,line_item,-2374.00
2026,2026-09,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-10,liquid_investments,IB --> DBS,line_item,-2374.00
2026,2026-11,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-12,liquid_investments,IB --> DBS,line_item,0.00
2026,2026-01,liquid_investments,WF --> CITI,line_item,1000.00
2026,2026-02,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-03,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-04,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-05,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-06,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-07,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-08,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-09,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-10,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-11,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-12,liquid_investments,WF --> CITI,line_item,0.00
2026,2026-01,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-02,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-03,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-04,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-05,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-06,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-07,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-08,liquid_investments,IRA --> CITI,line_item,1889.00
2026,2026-09,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-10,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-11,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-12,liquid_investments,IRA --> CITI,line_item,0.00
2026,2026-01,liquid_investments,net cash transfers,line_item,7149.00
2026,2026-02,liquid_investments,net cash transfers,line_item,-29646.00
2026,2026-03,liquid_investments,net cash transfers,line_item,55711.00
2026,2026-04,liquid_investments,net cash transfers,line_item,0.00
2026,2026-05,liquid_investments,net cash transfers,line_item,0.00
2026,2026-06,liquid_investments,net cash transfers,line_item,-25274.00
2026,2026-07,liquid_investments,net cash transfers,line_item,-12637.00
2026,2026-08,liquid_investments,net cash transfers,line_item,18956.00
2026,2026-09,liquid_investments,net cash transfers,line_item,0.00
2026,2026-10,liquid_investments,net cash transfers,line_item,0.00
2026,2026-11,liquid_investments,net cash transfers,line_item,18956.00
2026,2026-12,liquid_investments,net cash transfers,line_item,0.00
2026,2026-01,liquid_investments,CPF CONTRIBUTIONS,line_item,2738.00
2026,2026-02,liquid_investments,CPF CONTRIBUTIONS,line_item,2960.00
2026,2026-03,liquid_investments,CPF CONTRIBUTIONS,line_item,2960.00
2026,2026-04,liquid_investments,CPF CONTRIBUTIONS,line_item,2960.00
2026,2026-05,liquid_investments,CPF CONTRIBUTIONS,line_item,2960.00
2026,2026-06,liquid_investments,CPF CONTRIBUTIONS,line_item,2960.00
